"case_name","warning_count","error_count","last_step","cp_line","elapsed_line"
"thom94d3_fc_m10_1","0","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5381"," |        CP Time      (sec) =         36.891       Time  =  18:11:55          |"," |        Elapsed Time (sec) =        123.000       Date  =  03/29/2026        |"
"thom94d3_fc_m10_2","0","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5381"," |        CP Time      (sec) =         36.859       Time  =  18:11:55          |"," |        Elapsed Time (sec) =        123.000       Date  =  03/29/2026        |"
"thom94d3_fc_m10_3","0","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5381"," |        CP Time      (sec) =         48.719       Time  =  18:11:55          |"," |        Elapsed Time (sec) =        123.000       Date  =  03/29/2026        |"
"thom94d3_fc_m10","26","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5443"," |        CP Time      (sec) =        111.156       Time  =  18:31:24          |"," |        Elapsed Time (sec) =        123.000       Date  =  03/29/2026        |"
"thom94d3_fc_m10_1","0","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5443"," |        CP Time      (sec) =         35.906       Time  =  18:31:24          |"," |        Elapsed Time (sec) =        123.000       Date  =  03/29/2026        |"
"thom94d3_fc_m10_2","0","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5443"," |        CP Time      (sec) =         36.141       Time  =  18:31:24          |"," |        Elapsed Time (sec) =        123.000       Date  =  03/29/2026        |"
"thom94d3_fc_m10_3","0","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5443"," |        CP Time      (sec) =         48.297       Time  =  18:31:24          |"," |        Elapsed Time (sec) =        123.000       Date  =  03/29/2026        |"
"thom94d3_fc_m20","0","0",," |        CP Time      (sec) =          0.125       Time  =  12:52:39          |"," |        Elapsed Time (sec) =          3.000       Date  =  04/02/2026        |"
"thom94d3_fc_m20_1","0","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5381"," |        CP Time      (sec) =         35.125       Time  =  18:13:59          |"," |        Elapsed Time (sec) =        124.000       Date  =  03/29/2026        |"
"thom94d3_fc_m20_2","0","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5381"," |        CP Time      (sec) =         34.672       Time  =  18:13:59          |"," |        Elapsed Time (sec) =        124.000       Date  =  03/29/2026        |"
"thom94d3_fc_m20_3","0","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5381"," |        CP Time      (sec) =         47.734       Time  =  18:13:59          |"," |        Elapsed Time (sec) =        124.000       Date  =  03/29/2026        |"
"thom94d3_fc_m20","25","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5438"," |        CP Time      (sec) =        115.188       Time  =  18:29:21          |"," |        Elapsed Time (sec) =        125.000       Date  =  03/29/2026        |"
"thom94d3_fc_m20_1","0","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5438"," |        CP Time      (sec) =         37.016       Time  =  18:29:21          |"," |        Elapsed Time (sec) =        125.000       Date  =  03/29/2026        |"
"thom94d3_fc_m20_2","0","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5438"," |        CP Time      (sec) =         36.469       Time  =  18:29:21          |"," |        Elapsed Time (sec) =        125.000       Date  =  03/29/2026        |"
"thom94d3_fc_m20_3","0","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5438"," |        CP Time      (sec) =         48.750       Time  =  18:29:21          |"," |        Elapsed Time (sec) =        125.000       Date  =  03/29/2026        |"
"thom94d3_fc_p10","0","1",,,
"thom94d3_fc_p10_1","0","0"," *** LOAD STEP    16   SUBSTEP     5  COMPLETED.    CUM ITER =    111",,
"thom94d3_fc_p10_2","0","0"," *** LOAD STEP    16   SUBSTEP     5  COMPLETED.    CUM ITER =    111",,
"thom94d3_fc_p10_3","0","0"," *** LOAD STEP    16   SUBSTEP     5  COMPLETED.    CUM ITER =    111",,
"thom94d3_fc_p10","0","0",," |        CP Time      (sec) =          0.938       Time  =  20:03:12          |"," |        Elapsed Time (sec) =        230.000       Date  =  03/29/2026        |"
"thom94d3_fc_p10","24","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5468"," |        CP Time      (sec) =         41.891       Time  =  20:04:09          |"," |        Elapsed Time (sec) =         31.000       Date  =  03/29/2026        |"
"thom94d3_fc_p20","0","0",," |        CP Time      (sec) =          0.125       Time  =  12:52:41          |"," |        Elapsed Time (sec) =          3.000       Date  =  04/02/2026        |"
"thom94d3_fc_p20_1","0","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5381"," |        CP Time      (sec) =         35.234       Time  =  18:17:09          |"," |        Elapsed Time (sec) =        123.000       Date  =  03/29/2026        |"
"thom94d3_fc_p20_2","0","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5381"," |        CP Time      (sec) =         35.219       Time  =  18:17:09          |"," |        Elapsed Time (sec) =        123.000       Date  =  03/29/2026        |"
"thom94d3_fc_p20_3","0","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5381"," |        CP Time      (sec) =         47.656       Time  =  18:17:09          |"," |        Elapsed Time (sec) =        123.000       Date  =  03/29/2026        |"
"thom94d3_fc_p20","24","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5462"," |        CP Time      (sec) =         37.547       Time  =  20:04:44          |"," |        Elapsed Time (sec) =         31.000       Date  =  03/29/2026        |"
"thom94d3_fy_base","0","0",," |        CP Time      (sec) =          0.266       Time  =  12:52:43          |"," |        Elapsed Time (sec) =          3.000       Date  =  04/02/2026        |"
"thom94d3_fy_base1","0","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5381"," |        CP Time      (sec) =         35.188       Time  =  18:19:12          |"," |        Elapsed Time (sec) =        123.000       Date  =  03/29/2026        |"
"thom94d3_fy_base2","0","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5381"," |        CP Time      (sec) =         34.953       Time  =  18:19:12          |"," |        Elapsed Time (sec) =        123.000       Date  =  03/29/2026        |"
"thom94d3_fy_base3","0","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5381"," |        CP Time      (sec) =         47.109       Time  =  18:19:12          |"," |        Elapsed Time (sec) =        123.000       Date  =  03/29/2026        |"
"thom94d3_fy_base","0","0",,,
