"specimen_id","displacement_mm","lateral_load_kN"
"thom94d3","1.71704","30.3404258"
"thom94d3","3.5052","39.08251453"
"thom94d3","5.32384","46.54885348"
"thom94d3","7.15772","52.03350997"
"thom94d3","8.46328","50.15991928"
"thom94d3","7.90448","42.72071448"
"thom94d3","7.82574","41.82484277"
"thom94d3","7.79018","41.28171499"
"thom94d3","7.7597","40.92897107"
"thom94d3","7.71906","40.63049544"
"thom94d3","7.67842","39.97883106"
"thom94d3","7.65048","39.32716668"
"thom94d3","7.60984","39.40856913"
"thom94d3","7.56158","38.59409986"
"thom94d3","7.01802","32.21357166"
"thom94d3","6.38556","27.54382925"
"thom94d3","5.41274","21.59789224"
"thom94d3","3.94208","13.47988892"
"thom94d3","2.22504","4.031867514"
"thom94d3","0.77978","-5.009141668"
"thom94d3","-0.13208","-11.19928601"
"thom94d3","-0.7366","-15.70622353"
"thom94d3","-2.45364","-26.45801851"
"thom94d3","-4.22656","-34.43990627"
"thom94d3","-6.07822","-40.90183692"
"thom94d3","-7.80034","-45.43590858"
"thom94d3","-9.10336","-47.85218223"
"thom94d3","-9.24306","-42.80211693"
"thom94d3","-8.60806","-35.0101682"
"thom94d3","-7.8994","-26.94643317"
"thom94d3","-7.25932","-22.5208981"
"thom94d3","-6.59892","-18.66562496"
"thom94d3","-5.83946","-15.24494301"
"thom94d3","-4.48564","-8.864414809"
"thom94d3","-3.05562","-2.049740237"
"thom94d3","-1.7272","5.308062119"
"thom94d3","-0.03556","17.17235717"
"thom94d3","1.63576","28.63008482"
"thom94d3","3.43408","37.31790526"
"thom94d3","5.28828","44.10544568"
"thom94d3","7.13994","49.80717536"
"thom94d3","8.57504","50.26845588"
"thom94d3","7.71144","39.00111208"
"thom94d3","7.2644","34.33136968"
"thom94d3","6.8072","30.09621846"
"thom94d3","6.18744","26.2405005"
"thom94d3","5.23494","20.67488639"
"thom94d3","3.86334","13.47988892"
"thom94d3","2.14376","4.113269959"
"thom94d3","0.52578","-6.176799681"
"thom94d3","-0.14732","-10.65660305"
"thom94d3","-0.18796","-10.6294689"
"thom94d3","-0.47752","-13.50702307"
"thom94d3","-2.59588","-26.1862322"
"thom94d3","-4.80314","-35.63469843"
"thom94d3","-6.89356","-42.09618426"
"thom94d3","-8.78332","-46.60312177"
"thom94d3","-10.70864","-48.23250513"
"thom94d3","-11.46302","-40.79330032"
"thom94d3","-10.3251","-27.51669511"
"thom94d3","-9.83234","-24.15028145"
"thom94d3","-9.33958","-21.10947758"
"thom94d3","-7.6454","-13.53415721"
"thom94d3","-5.3467","-5.308062119"
"thom94d3","-2.99212","2.782807058"
"thom94d3","-0.89154","14.0230167"
"thom94d3","1.19888","27.9512863"
"thom94d3","3.41376","38.40416083"
"thom94d3","5.0165","43.69843346"
"thom94d3","6.5786","48.23250513"
"thom94d3","7.9121","51.3275773"
"thom94d3","9.01954","53.3363939"
"thom94d3","10.0457","47.63510904"
"thom94d3","10.69848","45.70725006"
"thom94d3","11.2014","45.02845154"
"thom94d3","11.06424","40.68476373"
"thom94d3","10.6934","36.15069207"
"thom94d3","10.287","31.07349262"
"thom94d3","9.58596","24.25881805"
"thom94d3","8.88238","20.5120815"
"thom94d3","7.30504","13.50702307"
"thom94d3","5.64896","7.181207982"
"thom94d3","3.97764","1.805532904"
"thom94d3","2.3114","-4.059001663"
"thom94d3","0.27686","-13.56173618"
"thom94d3","-0.05334","-14.78321767"
"thom94d3","-1.00076","-20.34927661"
"thom94d3","-2.7813","-28.54823756"
"thom94d3","-4.63296","-33.9514916"
"thom94d3","-6.5405","-38.21377697"
"thom94d3","-8.45312","-41.47209885"
"thom94d3","-9.81964","-43.18243982"
"thom94d3","-10.97026","-44.24111642"
"thom94d3","-12.05992","-44.13257983"
